survey_id,customer_key,survey_date,nps_score,category,comment
1,7270,2025-10-25,8,Kundenservice,
2,12062,2024-01-28,9,Preis-Leistung,Gutes Preis-Leistungs-Verhältnis
3,3265,2024-03-22,9,Installation,
4,5129,2025-06-01,5,Installation,Chaos bei der Installation
5,12357,2025-08-23,9,Kundenservice,Schnelle Hilfe erhalten
6,17137,2024-08-15,9,Preis-Leistung,Preis stimmt
7,16272,2024-05-05,7,Preis-Leistung,Preis ist okay
8,13082,2024-08-25,10,Preis-Leistung,Fairer Preis
9,15699,2024-07-20,10,Installation,Handwerker sehr professionell
10,108,2024-03-24,7,Produkt,Funktioniert wie erwartet
11,3550,2025-01-17,10,Produkt,Wallbox perfekt installiert
12,18156,2024-10-22,8,Installation,"War okay, nichts Besonderes"
13,19597,2025-03-29,0,Preis-Leistung,Zu teuer
14,594,2025-11-15,9,Kundenservice,
15,13563,2025-06-05,10,Produkt,
16,19908,2025-03-28,9,Kundenservice,
17,12639,2024-04-23,7,App & Digital,App stürzt manchmal ab
18,4455,2024-10-21,10,Installation,
19,13431,2025-12-10,7,Installation,Kleine Verzögerung
20,12056,2025-04-29,5,Gesamtzufriedenheit,Würde nicht erneut wählen
21,12639,2025-05-28,8,Gesamtzufriedenheit,
22,4193,2025-04-26,7,Preis-Leistung,Etwas teuer
23,5472,2024-12-22,9,Installation,
24,15667,2025-04-01,6,Produkt,Defekt nach kurzer Zeit
25,1417,2024-12-06,3,Produkt,Qualität mangelhaft
26,1390,2024-11-25,8,Gesamtzufriedenheit,Im Großen und Ganzen okay
27,17298,2024-10-03,7,Installation,Kleine Verzögerung
28,12210,2024-10-20,5,App & Digital,
29,9676,2024-05-14,8,Kundenservice,Musste mehrfach anrufen
30,3941,2025-02-19,5,Preis-Leistung,
31,9278,2025-09-27,8,Preis-Leistung,Preis ist okay
32,8738,2024-10-04,10,Kundenservice,Sehr freundliche Mitarbeiter
33,108,2025-10-26,8,Preis-Leistung,
34,16359,2025-02-27,9,Produkt,
35,13381,2024-03-31,3,Produkt,
36,16678,2025-06-14,10,Preis-Leistung,Fairer Preis
37,851,2024-12-12,9,Installation,
38,7877,2024-01-29,10,App & Digital,
39,138,2024-12-03,8,Preis-Leistung,Preis ist okay
40,9087,2024-10-19,10,Gesamtzufriedenheit,Kann ich nur weiterempfehlen
41,6402,2024-05-08,9,Installation,Termingerecht fertig
42,12194,2024-03-04,9,Preis-Leistung,Gutes Preis-Leistungs-Verhältnis
43,1769,2025-03-28,9,Kundenservice,Schnelle Hilfe erhalten
44,11493,2025-02-16,9,Kundenservice,Sehr freundliche Mitarbeiter
45,13571,2025-11-06,8,Preis-Leistung,
46,11046,2024-02-01,9,Kundenservice,
47,9531,2024-03-15,8,App & Digital,Funktioniert meistens
48,2583,2025-09-02,7,Gesamtzufriedenheit,
49,9630,2024-12-13,7,Preis-Leistung,
50,479,2025-12-05,7,Produkt,Funktioniert wie erwartet
51,12196,2025-04-12,9,Gesamtzufriedenheit,Kann ich nur weiterempfehlen
52,18453,2025-11-22,10,Preis-Leistung,Preis stimmt
53,5161,2025-07-23,8,Preis-Leistung,Etwas teuer
54,5018,2025-01-28,7,Kundenservice,
55,4233,2024-05-17,9,Installation,
56,5810,2025-03-17,8,Kundenservice,
57,11281,2025-01-17,7,App & Digital,
58,16960,2024-05-22,7,App & Digital,Funktioniert meistens
59,4454,2024-01-01,6,Preis-Leistung,
60,15138,2024-11-04,7,Preis-Leistung,
61,1831,2025-05-02,1,Preis-Leistung,Nicht transparent
62,6142,2025-04-29,7,App & Digital,
63,2896,2024-12-05,6,Gesamtzufriedenheit,
64,7495,2025-05-31,5,Kundenservice,Niemand erreichbar
65,2846,2025-06-03,9,App & Digital,
66,4666,2024-08-09,4,Gesamtzufriedenheit,Würde nicht erneut wählen
67,7549,2024-10-03,5,Produkt,
68,19819,2024-10-15,9,App & Digital,
69,7384,2024-10-25,10,Gesamtzufriedenheit,
70,6199,2024-03-31,9,Kundenservice,Problemlos gelöst
71,2909,2025-06-16,10,Kundenservice,Schnelle Hilfe erhalten
72,7581,2024-11-09,9,Preis-Leistung,
73,12622,2024-04-09,2,Gesamtzufriedenheit,
74,17890,2024-10-02,8,App & Digital,App stürzt manchmal ab
75,7458,2024-12-27,7,Preis-Leistung,
76,9123,2024-12-07,2,Produkt,Qualität mangelhaft
77,3711,2025-03-19,8,Preis-Leistung,Vergleichbar mit anderen
78,3367,2024-08-07,3,Gesamtzufriedenheit,
79,14694,2025-07-12,9,App & Digital,Verbrauch immer im Blick
80,19429,2025-09-27,1,App & Digital,Keine Echtzeit-Daten
81,8098,2024-11-29,7,Kundenservice,
82,6397,2024-05-23,7,Gesamtzufriedenheit,Nichts Besonderes
83,1407,2025-05-13,9,Gesamtzufriedenheit,Alles bestens
84,3932,2024-10-25,10,Installation,
85,2834,2024-12-12,6,Gesamtzufriedenheit,Bin enttäuscht
86,15780,2025-08-11,5,Preis-Leistung,
87,10045,2025-09-25,6,Preis-Leistung,
88,4406,2024-10-27,7,App & Digital,
89,4827,2025-04-15,10,Installation,Schnell und sauber
90,18089,2024-05-05,9,Gesamtzufriedenheit,Alles bestens
91,7979,2024-01-31,9,Produkt,
92,18264,2024-11-25,8,Preis-Leistung,
93,3638,2025-02-14,5,Produkt,Qualität mangelhaft
94,5940,2024-12-12,10,Gesamtzufriedenheit,
95,19203,2024-06-11,5,Gesamtzufriedenheit,Bin enttäuscht
96,4831,2024-07-10,7,Produkt,
97,10165,2025-10-13,9,Installation,Installation top organisiert
98,17301,2024-04-19,3,App & Digital,
99,16786,2024-10-31,7,Produkt,Funktioniert wie erwartet
100,1364,2025-08-29,6,Installation,
101,7450,2024-11-14,0,Installation,Unsaubere Arbeit
102,4960,2025-05-06,7,Produkt,
103,10889,2025-01-26,1,Kundenservice,Niemand erreichbar
104,7782,2024-07-15,9,Gesamtzufriedenheit,Sehr zufrieden mit EPOWER
105,15135,2025-04-23,9,Preis-Leistung,
106,2558,2024-06-22,9,App & Digital,Verbrauch immer im Blick
107,13106,2025-11-04,9,Gesamtzufriedenheit,
108,13648,2025-12-23,6,Preis-Leistung,Zu teuer
109,7783,2024-11-20,8,Kundenservice,
110,3335,2024-05-31,0,Gesamtzufriedenheit,
111,17193,2025-11-30,3,App & Digital,App nicht nutzbar
112,6762,2025-07-09,10,App & Digital,Einfache Bedienung
113,10848,2025-10-03,9,Produkt,
114,12758,2024-12-01,9,Installation,
115,17698,2025-08-13,9,Preis-Leistung,Gutes Preis-Leistungs-Verhältnis
116,909,2025-05-12,0,Gesamtzufriedenheit,Erwartungen nicht erfüllt
117,4062,2025-05-08,8,App & Digital,Design veraltet
118,13853,2024-08-15,9,Preis-Leistung,
119,15749,2024-12-03,9,Kundenservice,Schnelle Hilfe erhalten
120,7842,2025-12-12,8,Preis-Leistung,
121,18571,2024-12-29,10,Produkt,Wallbox perfekt installiert
122,4082,2024-08-06,9,App & Digital,
123,1005,2024-09-10,2,Kundenservice,Unfreundlich am Telefon
124,11357,2024-11-06,8,App & Digital,App stürzt manchmal ab
