vendor_key,vendor_name,vendor_type,vertical,address,city,state,zip
1,Plath Smart UG,Lieferant,Energy,SchillerGasse 27,Leipzig,East,04534
2,Weller Solar e.K.,E-Mobility Partner,E-Mobility,MozartAllee 17,Dortmund,West,44597
3,Oestrovsky Smart UG,Lieferant,Energy,TalPlatz 16,Halle,East,06668
4,Haering Power GmbH,Lieferant,Energy,RosenWeg 107,Regensburg,South,93948
5,Etzler Tech GmbH,E-Mobility Partner,E-Mobility,SonnenRing 147,Duisburg,West,47631
6,Rust Power AG,E-Mobility Partner,E-Mobility,SchulPlatz 74,Magdeburg,East,39895
7,Zänker Solar e.K.,Smart Home Partner,Smart Home,GoetheWeg 141,Ulm,South,89406
8,Metz Wärme e.K.,Installateur,Future Energy,EichenStraße 32,München,South,80804
9,Jopich Smart GmbH,E-Mobility Partner,E-Mobility,BahnhofRing 32,Jena,East,07125
10,Pergande Eco AG,Wartungspartner,Future Energy,TannenGasse 29,Berlin,East,10874
11,Heydrich Service e.K.,Wartungspartner,Future Energy,BlumenAllee 139,Köln,West,50765
12,Wernecke Elektro KG,Lieferant,Energy,SeeGasse 88,Osnabrück,North,49331
13,Käster Haustechnik AG,Installateur,Future Energy,BlumenStraße 84,Erfurt,East,99966
14,Loos Solar GmbH,Installateur,Future Energy,BeethovenRing 10,Stuttgart,South,70605
15,Faust Haustechnik KG,Lieferant,Energy,BahnhofGasse 9,Lübeck,North,23596
16,Mühle Eco UG,Installateur,Future Energy,MozartRing 47,Potsdam,East,14400
17,Döring Klima KG,E-Mobility Partner,E-Mobility,SeeStraße 149,Dresden,East,01370
18,Seifert Haustechnik GmbH,Smart Home Partner,Smart Home,SchulStraße 39,Wolfsburg,North,38699
19,Grein Groth Smart AG,E-Mobility Partner,E-Mobility,BlumenPlatz 124,Potsdam,East,14780
20,Mohaupt Klima e.K.,Lieferant,Energy,WaldStraße 30,Münster,West,48235
21,Bloch Elektro GmbH,Lieferant,Energy,BlumenGasse 54,Stuttgart,South,70970
22,Schomber Elektro AG,Smart Home Partner,Smart Home,WaldGasse 94,Köln,West,50319
23,Fechner Solar UG,Wartungspartner,Future Energy,SternPlatz 91,Münster,West,48171
24,Heser Smart GmbH,Installateur,Future Energy,MozartStraße 5,Magdeburg,East,39318
25,Jacob Power KG,Wartungspartner,Future Energy,MarktWeg 85,Ulm,South,89198
26,Krein Haustechnik e.K.,Wartungspartner,Future Energy,WiesenRing 123,Stuttgart,South,70519
27,Schmidt Energie e.K.,Smart Home Partner,Smart Home,BrunnenRing 27,Bochum,West,44996
28,Pruschke Eco KG,Lieferant,Energy,SchulAllee 116,Düsseldorf,West,40546
29,Hofmann Eco UG,Installateur,Future Energy,ParkAllee 131,Leipzig,East,04501
30,Keudel Energie AG,E-Mobility Partner,E-Mobility,BahnhofRing 126,Bochum,West,44921
31,Rose Wärme GmbH,Wartungspartner,Future Energy,TalPlatz 56,Jena,East,07497
32,Riehl Klima UG,Smart Home Partner,Smart Home,SchulPlatz 139,Osnabrück,North,49210
33,Schmiedecke Elektro UG,Wartungspartner,Future Energy,BahnhofGasse 27,Braunschweig,North,38995
34,van der Dussen Tech UG,Smart Home Partner,Smart Home,GoetheRing 8,Magdeburg,East,39868
35,Baum Green KG,Lieferant,Energy,HauptGasse 141,Nürnberg,South,90448
36,Schleich Power AG,Wartungspartner,Future Energy,GoetheWeg 134,Erfurt,East,99657
37,Bolander Eco UG,Lieferant,Energy,GoetheStraße 100,Rostock,North,18450
38,Kramer Tech AG,E-Mobility Partner,E-Mobility,BrunnenWeg 27,Bonn,West,53249
39,Kuhl Service GmbH,Lieferant,Energy,RosenGasse 87,Braunschweig,North,38638
40,Baum Wärme AG,Smart Home Partner,Smart Home,TalWeg 37,Jena,East,07275
41,Ruppersberger Haustechnik GmbH,E-Mobility Partner,E-Mobility,HeideWeg 1,München,South,80517
42,Huhn Klima AG,Installateur,Future Energy,MondStraße 84,Berlin,East,10644
43,Mosemann Klima KG,E-Mobility Partner,E-Mobility,RathausWeg 61,Hannover,North,30103
44,Pruschke Wärme GmbH,Wartungspartner,Future Energy,MondPlatz 122,Ulm,South,89194
45,Gumprich Wärme UG,Wartungspartner,Future Energy,HeideAllee 67,Halle,East,06522
46,Bloch Eco GmbH,E-Mobility Partner,E-Mobility,SternGasse 53,Ingolstadt,South,85764
47,Lindau Tech UG,Installateur,Future Energy,RosenRing 20,Würzburg,South,97816
48,Finke Smart GmbH,Smart Home Partner,Smart Home,TalGasse 79,Kiel,North,24717
49,Löffler Power UG,Installateur,Future Energy,BergRing 119,Rostock,North,18647
50,Hoffmann Power UG,Wartungspartner,Future Energy,SonnenPlatz 14,Stuttgart,South,70378
51,Lachmann Tech UG,E-Mobility Partner,E-Mobility,KirchGasse 54,Potsdam,East,14620
52,Tschentscher Power KG,Lieferant,Energy,HauptWeg 47,München,South,80811
53,Kabus Green AG,Wartungspartner,Future Energy,SonnenStraße 10,Oldenburg,North,26565
54,Paffrath Solar e.K.,Lieferant,Energy,SternPlatz 110,Osnabrück,North,49590
55,Reichmann Green GmbH,Smart Home Partner,Smart Home,EichenRing 127,Bremen,North,28132
56,Rosemann Solar KG,Wartungspartner,Future Energy,HeideStraße 61,Cottbus,East,03411
57,Schäfer Eco AG,E-Mobility Partner,E-Mobility,BrunnenPlatz 149,München,South,80218
58,Röhrdanz Haustechnik e.K.,Wartungspartner,Future Energy,LindenWeg 15,Augsburg,South,86512
59,Ortmann Tech AG,Lieferant,Energy,LindenAllee 43,Lübeck,North,23589
60,Gierschner Solar e.K.,Lieferant,Energy,ParkAllee 135,Wolfsburg,North,38475
